"init_id","title","init_text"
"09-0107","ELIMINATES STATE COMMISSION ON REDISTRICTING.  CONSOLIDATES AUTHORITY FOR REDISTRICTING WITH ELECTED REPRESENTATIVES.  INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0107%20%28i905_initiative_09-0107%29.pdf"
"09-0106","PROHIBITS VOTING BY THOSE WHO DO NOT PROVIDE GOVERNMENT-ISSUED IDENTIFICATION.  ADDS ADDITIONAL ABSENTEE VOTING REQUIREMENTS.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0106%20%28i904_initiative_09-0106%29.pdf"
"09-0105","SUSPENDS AIR POLLUTION CONTROL LAWS REQUIRING MAJOR POLLUTERS TO REPORT AND REDUCE GREENHOUSE GAS EMISSIONS THAT CAUSE GLOBAL WARMING UNTIL UNEMPLOYMENT DROPS BELOW SPECIFIED LEVEL FOR FULL YEAR.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0105%20%28i903_initiative_09-0105%29.pdf"
"09-0104","SUSPENDS AIR POLLUTION CONTROL LAWS REQUIRING MAJOR POLLUTERS TO REPORT AND REDUCE GREENHOUSE GAS EMISSIONS THAT CAUSE GLOBAL WARMING UNTIL UNEMPLOYMENT DROPS BELOW SPECIFIED LEVEL FOR FULL YEAR.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0104%20%28i902_initiative_09-0104%29.pdf"
"09-0103","EXPANDS TYPES OF CRIMINAL CONDUCT THAT CONSTITUTE HUMAN TRAFFICKING AND INCREASES CRIMINAL PENALTIES.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0103%20%28i901_initiative_09-0103%29.pdf"
"09-0102","""California Taxpayer Protection Act of 2010.""  [V-5.]","http://oag.ca.gov/system/files/initiatives/pdfs/09-0102%20%28i900_initiative_09-0102%29.pdf"
"09-0101","IMPOSES ADDITIONAL REQUIREMENT FOR VOTERS TO APPROVE LEGISLATURE’S TWO-THIRDS VOTE ON STATE TAXES.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0101%20%28i899_initiative_09-0101%29.pdf"
"09-0100","INCREASES LEGISLATIVE VOTE REQUIREMENT TO TWO-THIRDS FOR STATE LEVIES AND CHARGES.  IMPOSES ADDITIONAL REQUIREMENT FOR VOTERS TO APPROVE LOCAL LEVIES AND CHARGES WITH LIMITED EXCEPTIONS.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0100%20%28i898_initiative_09-0100%29.pdf"
"09-0099","ALLOWS GREATER PERCENTAGE OF STATE LOTTERY REVENUE TO BE USED FOR PRIZES AND REQUIRES SMALLER PERCENTAGE TO BE USED FOR EXPENSES.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0099%20%28i897_initiative_09-0099%29.pdf"
"09-0098","CHANGES STATE BUDGET PROCESS IN SEVERAL WAYS.  INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0098%20%28i896_initiative_09-0098%29.pdf"
"09-0097","IMPOSES ADDITIONAL TAX ON CIGARETTES FOR CANCER RESEARCH.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0097%20%28i895_initiative_09-0097%29.pdf"
"09-0096","IMPOSES ADDITIONAL REQUIREMENTS FOR LEGISLATURE TO APPROVE CERTAIN STATE FEES AND TAXES AND FOR VOTERS TO APPROVE CERTAIN LOCAL TAXES AND FEES.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0096%20%28i894_initiative_09-0096%29.pdf"
"09-0095","IMPOSES WEALTH TAX.  INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0095%20%28i893_initiative_09-0095%29.pdf"
"09-0094","SUSPENDS AIR POLLUTION CONTROL LAWS REQUIRING MAJOR POLLUTERS TO REPORT AND REDUCE GREENHOUSE GAS EMISSIONS THAT CAUSE GLOBAL WARMING UNTIL UNEMPLOYMENT DROPS BELOW SPECIFIED LEVEL FOR FULL YEAR.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0094%20%28i892_initiative_09-0094%29.pdf"
"09-0093","INCREASES LEGISLATIVE VOTE REQUIREMENT TO TWO-THIRDS FOR STATE LEVIES AND CHARGES.  IMPOSES ADDITIONAL REQUIREMENT FOR VOTERS TO APPROVE LOCAL LEVIES AND CHARGES WITH LIMITED EXCEPTIONS.  INITIATIVE C","http://oag.ca.gov/system/files/initiatives/pdfs/09-0093%20%28i891_initiative_09-0093%29.pdf"
