"init_id","title","init_text","proponent","submit_date","submit_report","fiscal_impact_report"
"14-0008","MARIJUANA LEGALIZATION.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/14-0008%20%2814-0008%2814-0008%28Marijuana%20V2%29%29%29.pdf","Berton Duzy","03/21/2014","http://oag.ca.gov/system/files/initiatives/pdfs/Title%20and%20Summary%20%2814-0008%29.pdf","http://oag.ca.gov/system/files/initiatives/pdfs/fiscal-impact-estimate-report%2814-0008%29.pdf"
"14-0007","ONLINE PRIVACY.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/14-0007%20%2814-0007%20%28Online%20Privacy%20V2%29%29.pdf","Jamie Court","03/11/2014","http://oag.ca.gov/system/files/initiatives/pdfs/Title%20and%20Summary%20%2814-0007%29.pdf","http://oag.ca.gov/system/files/initiatives/pdfs/fiscal-impact-estimate-report%2814-0007%29.pdf"
"14-0006","ONLINE PRIVACY.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/14-0006%20%2814-0006%20%28Online%20Privacy%29%29.pdf","Jamie Court","03/11/2014","http://oag.ca.gov/system/files/initiatives/pdfs/Title%20and%20Summary%20%2814-0006%29.pdf","http://oag.ca.gov/system/files/initiatives/pdfs/fiscal-impact-estimate-report%2814-0006%29.pdf"
"14-0005","CIGARETTE TAX TO FUND BRAIN RESEARCH.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/14-0005%20%2814-0005%20%28Tobacco%20Tax%20V2%29%29.pdf","Frank P. Barbaro","03/10/2014","http://oag.ca.gov/system/files/initiatives/pdfs/Title%20and%20Summary%20%2814-0005%29.pdf","http://oag.ca.gov/system/files/initiatives/pdfs/fiscal-impact-estimate-report%2814-0005%29.pdf"
"14-0004","HIGH-SPEED RAIL.  NO ISSUANCE OR SALE OF FUTURE BONDS.  TERMINATION OF PROJECT.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/14-0004%20%2814-0004%20%28High-Speed%20Rail%29%29.pdf","Jeff Gorell","03/03/2014","http://oag.ca.gov/system/files/initiatives/pdfs/Title%20and%20Summary%20%2814-0004%29.pdf","http://oag.ca.gov/system/files/initiatives/pdfs/fiscal-impact-estimate-report%2814-0004%29.pdf"
"14-0003","CIGARETTE TAX TO FUND BRAIN AND STEM CELL RESEARCH.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/14-0003%20%2814-0003A1S%20%28Tobacco%20Tax%29%29.pdf","Frank P. Barbaro","03/07/2014","http://oag.ca.gov/system/files/initiatives/pdfs/Title%20and%20Summary%20%2814-0003%29.pdf","http://oag.ca.gov/system/files/initiatives/pdfs/fiscal-impact-estimate-report%2814-0003%29.pdf"
"14-0002","MARIJUANA LEGALIZATION.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/14-0002%20%2814-0002A1S%20%28Marijuana%29%29.pdf","Ed Rosenthal","03/13/2014","http://oag.ca.gov/system/files/initiatives/pdfs/Title%20and%20Summary%20%2814-0002%29.pdf","http://oag.ca.gov/system/files/initiatives/pdfs/fiscal-impact-estimate-report%2814-0002%29.pdf"
"14-0001","HIGH-SPEED RAIL.  FUTURE BOND SALES.  NEW TRANSPORTATION TECHNOLOGIES.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/14-0001%20%2814-0001%20%28High-Speed%20Rail%29%29.pdf","Nick Garzilli","02/24/2014","http://oag.ca.gov/system/files/initiatives/pdfs/Title%20and%20Summary%20%2814-0001%29.pdf","http://oag.ca.gov/system/files/initiatives/pdfs/fiscal-impact-estimate-report%2814-0001%29.pdf"
"13-0065","REDEVELOPMENT AGENCIES.  REESTABLISHMENT.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/13-0065%20%2813-0065%20%2813-0065A1NS%20%28Tax%20Increment%20Financing%29%29%29.pdf","Philip D. Kohn","02/19/2014","http://oag.ca.gov/system/files/initiatives/pdfs/Title%20and%20Summary%20%2813-0065%29.pdf","http://oag.ca.gov/system/files/initiatives/pdfs/fiscal-impact-estimate-report%2813-0065%29.pdf"
"13-0064","IN-HOME CARE PROVIDERS.  EXPENDITURES.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/13-0064%20%2813-0064%20%28Senior%20Home%20Care%20V2%29%29.pdf","Brandi Wolf","02/19/2014","http://oag.ca.gov/system/files/initiatives/pdfs/Title%20and%20Summary%20%2813-0064%29.pdf","http://oag.ca.gov/system/files/initiatives/pdfs/fiscal-impact-estimate-report%2813-0064%29.pdf"
"13-0063","DIVISION OF CALIFORNIA INTO SIX STATES.  INITIATIVE STATUTORY AND CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/13-0063%20%2813-0063%20%28Six%20Californias%29%29.pdf","Timothy Cook Draper","02/18/2014","http://oag.ca.gov/system/files/initiatives/pdfs/Title%20and%20Summary%20%2813-0063%29.pdf","http://oag.ca.gov/system/files/initiatives/pdfs/fiscal-impact-estimate-report%2813-0063%29.pdf"
